team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
PAK,Shaheen Shah Afridi (PAK),bowl,60,45,3.0,0.05,0.75,v South Africa,Chennai,2023-10-27,10.0,0.0,4.5,2,,,,,
ENG,DJ Willey (ENG),bowl,60,45,3.0,0.05,0.75,v India,Lucknow,2023-10-29,10.0,2.0,4.5,1,,,,,
NZ,MJ Henry (NZ),bowl,60,48,3.0,0.05,0.8,v England,Ahmedabad,2023-10-05,10.0,1.0,4.8,1,,,,,
NZ,LH Ferguson (NZ),bowl,60,49,3.0,0.05,0.816666667,v Bangladesh,Chennai,2023-10-13,10.0,0.0,4.9,1,,,,,
AFG,Noor Ahmad (AFG),bowl,60,49,3.0,0.05,0.816666667,v Pakistan,Chennai,2023-10-23,10.0,0.0,4.9,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,51,3.0,0.05,0.85,v England,Delhi,2023-10-15,10.0,1.0,5.1,2,,,,,
ENG,AU Rashid (ENG),bowl,48,54,3.0,0.0625,1.125,v Netherlands,Pune,2023-11-08,8.0,0.0,6.75,2,,,,,
NED,LV van Beek (NED),bowl,53,60,3.0,0.056603774,1.132075472,v South Africa,Dharamsala,2023-10-17,8.5,0.0,6.79,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,54,60,3.0,0.055555556,1.111111111,v Pakistan,Eden Gardens,2023-10-31,9.0,0.0,6.66,2,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,60,60,3.0,0.05,1.0,v New Zealand,Bengaluru,2023-11-04,10.0,0.0,6.0,1,,,,,
SA,G Coetzee (SA),bowl,60,62,3.0,0.05,1.033333333,v Bangladesh,Wankhede,2023-10-24,10.0,0.0,6.2,2,,,,,
SA,G Coetzee (SA),bowl,54,68,3.0,0.055555556,1.259259259,v Sri Lanka,Delhi,2023-10-07,9.0,0.0,7.55,2,,,,,
SL,D Madushanka (SL),bowl,60,69,3.0,0.05,1.15,v Bangladesh,Delhi,2023-11-06,10.0,1.0,6.9,2,,,,,
